Tourney,Game,Name,Win
4th EA,4th EA Game 1,Pbhead,1
4th EA,4th EA Game 1,Tozar,0
4th EA,4th EA Game 1,RedSparrow,0
4th EA,4th EA Game 1,Steelstiletto,0
4th EA,4th EA Game 2,Pbhead,1
4th EA,4th EA Game 2,Tozar,0
4th EA,4th EA Game 2,RedSparrow,0
4th EA,4th EA Game 2,Steelstiletto,0
4th EA,4th EA Game 3,Gameslayer,1
4th EA,4th EA Game 3,Blues,0
4th EA,4th EA Game 3,DeathTacticus,0
4th EA,4th EA Game 3,Corewin,0
4th EA,4th EA Game 4,Blues,1
4th EA,4th EA Game 4,Gameslayer,0
4th EA,4th EA Game 4,DeathTacticus,0
4th EA,4th EA Game 4,Corewin,0
4th EA,4th EA Game 5,DeathTacticus,1
4th EA,4th EA Game 5,Gameslayer,0
4th EA,4th EA Game 5,Blues,0
4th EA,4th EA Game 5,Corewin,0
4th EA,4th EA Game 6,Blues,1
4th EA,4th EA Game 6,Gameslayer,0
4th EA,4th EA Game 6,DeathTacticus,0
4th EA,4th EA Game 6,Corewin,0
4th EA,4th EA Game 7,Cubit32,1
4th EA,4th EA Game 7,Galactic Wino,0
4th EA,4th EA Game 7,Saberman,0
4th EA,4th EA Game 7,nate_the_great,0
4th EA,4th EA Game 8,Cubit32,1
4th EA,4th EA Game 8,Galactic Wino,0
4th EA,4th EA Game 8,Saberman,0
4th EA,4th EA Game 8,nate_the_great,0
4th EA,4th EA Game 9,blackmagic,1
4th EA,4th EA Game 9,SorenJohnson,0
4th EA,4th EA Game 9,Hydroponos,0
4th EA,4th EA Game 9,Morgan,0
4th EA,4th EA Game 10,SorenJohnson,1
4th EA,4th EA Game 10,blackmagic,0
4th EA,4th EA Game 10,Hydroponos,0
4th EA,4th EA Game 10,Morgan,0
4th EA,4th EA Game 11,Hydroponos,1
4th EA,4th EA Game 11,blackmagic,0
4th EA,4th EA Game 11,SorenJohnson,0
4th EA,4th EA Game 11,Morgan,0
4th EA,4th EA Game 12,SorenJohnson,1
4th EA,4th EA Game 12,blackmagic,0
4th EA,4th EA Game 12,Hydroponos,0
4th EA,4th EA Game 12,Morgan,0
4th EA,4th EA Game 13,SorenJohnson,1
4th EA,4th EA Game 13,Pbhead,0
4th EA,4th EA Game 13,Blues,0
4th EA,4th EA Game 13,Cubit32,0
4th EA,4th EA Game 14,Cubit32,1
4th EA,4th EA Game 14,Pbhead,0
4th EA,4th EA Game 14,Blues,0
4th EA,4th EA Game 14,SorenJohnson,0
4th EA,4th EA Game 15,Blues,1
4th EA,4th EA Game 15,Pbhead,0
4th EA,4th EA Game 15,Cubit32,0
4th EA,4th EA Game 15,SorenJohnson,0
4th EA,4th EA Game 16,Pbhead,1
4th EA,4th EA Game 16,Blues,0
4th EA,4th EA Game 16,Cubit32,0
4th EA,4th EA Game 16,SorenJohnson,0
4th EA,4th EA Game 17,Pbhead,1
4th EA,4th EA Game 17,Blues,0
4th EA,4th EA Game 17,Cubit32,0
4th EA,4th EA Game 17,SorenJohnson,0
6th EA,6th EA Game 1,Blues,1
6th EA,6th EA Game 1,Pbhead,0
6th EA,6th EA Game 1,TheSpincycle,0
6th EA,6th EA Game 1,Place/Holder,0
6th EA,6th EA Game 2,Blues,1
6th EA,6th EA Game 2,Pbhead,0
6th EA,6th EA Game 2,TheSpincycle,0
6th EA,6th EA Game 2,Place/Holder,0
6th EA,6th EA Game 3,SorenJohnson,1
6th EA,6th EA Game 3,Veivi ,0
6th EA,6th EA Game 3,Ultrapope,0
6th EA,6th EA Game 3,BlackMagic,0
6th EA,6th EA Game 4,BlackMagic,1
6th EA,6th EA Game 4,SorenJohnson,0
6th EA,6th EA Game 4,Veivi ,0
6th EA,6th EA Game 4,Ultrapope,0
6th EA,6th EA Game 5,SorenJohnson,1
6th EA,6th EA Game 5,Veivi ,0
6th EA,6th EA Game 5,Ultrapope,0
6th EA,6th EA Game 5,BlackMagic,0
6th EA,6th EA Game 6,Cubit32,1
6th EA,6th EA Game 6,Showcasemike,0
6th EA,6th EA Game 6,Morgan,0
6th EA,6th EA Game 6,Place/Holder,0
6th EA,6th EA Game 7,Cubit32,1
6th EA,6th EA Game 7,Showcasemike,0
6th EA,6th EA Game 7,Morgan,0
